,CellID,ExpType,RecMode,Sweep,SweepCount,Peak,Tail,AvgPeak,AvgTail,AmpNARatioDepol,AmpNARatioMgFree,,,,
151,20101129C1,MgFree,EPSC70MinusPre,21,1,-192.1526,-1.746032,-201.65941,-2.288173624,0.1376585366,0.0702339472,,,,
152,20101129C1,MgFree,EPSC70MinusPre,22,2,-265.7289,-4.351383,-201.65941,-2.288173624,0.1376585366,0.0702339472,,,,
153,20101129C1,MgFree,EPSC70MinusPre,23,3,-211.3312,-1.373062,-201.65941,-2.288173624,0.1376585366,0.0702339472,,,,
154,20101129C1,MgFree,EPSC70MinusPre,24,4,-142.978,-2.777159,-201.65941,-2.288173624,0.1376585366,0.0702339472,,,,
155,20101129C1,MgFree,EPSC70MinusPre,25,5,-234.6205,-2.073045,-201.65941,-2.288173624,0.1376585366,0.0702339472,,,,
156,20101129C1,MgFree,EPSC70MinusPre,26,6,-241.7317,-1.633992,-201.65941,-2.288173624,0.1376585366,0.0702339472,,,,
157,20101129C1,MgFree,EPSC70MinusPre,27,7,-271.3595,-3.614613,-201.65941,-2.288173624,0.1376585366,0.0702339472,,,,
158,20101129C1,MgFree,EPSC70MinusPre,28,8,-227.0418,-4.887133,-201.65941,-2.288173624,0.1376585366,0.0702339472,,,,
159,20101129C1,MgFree,EPSC70MinusPre,29,9,-188.9774,4.948315,-201.65941,-2.288173624,0.1376585366,0.0702339472,,,,
160,20101129C1,MgFree,EPSC70MinusPre,30,10,-248.6153,-3.184321,-201.65941,-2.288173624,0.1376585366,0.0702339472,,,,
161,20101129C1,MgFree,EPSC70MinusPre,31,11,-244.9931,-4.749366,-201.65941,-2.288173624,0.1376585366,0.0702339472,,,,
162,20101129C1,MgFree,EPSC70MinusPre,32,12,-172.2995,-4.818049,-201.65941,-2.288173624,0.1376585366,0.0702339472,,,,
163,20101129C1,MgFree,EPSC70MinusPre,33,13,-134.3174,-0.210439,-201.65941,-2.288173624,0.1376585366,0.0702339472,,,,
164,20101129C1,MgFree,EPSC70MinusPre,34,14,-257.4558,-5.442361,-201.65941,-2.288173624,0.1376585366,0.0702339472,,,,
165,20101129C1,MgFree,EPSC70MinusPre,35,15,-101.3255,-3.587343,-201.65941,-2.288173624,0.1376585366,0.0702339472,,,,
166,20101129C1,MgFree,EPSC70MinusPre,36,16,-158.2064,-0.303458,-201.65941,-2.288173624,0.1376585366,0.0702339472,,,,
167,20101129C1,MgFree,EPSC70MinusPre,37,17,-171.0938,-0.9426586,-201.65941,-2.288173624,0.1376585366,0.0702339472,,,,
168,20101129C1,MgFree,EPSC70MinusPre,38,18,-202.0138,-4.444554,-201.65941,-2.288173624,0.1376585366,0.0702339472,,,,
169,20101129C1,MgFree,EPSC70MinusPre,39,19,-145.1884,-0.6169032,-201.65941,-2.288173624,0.1376585366,0.0702339472,,,,
170,20101129C1,MgFree,EPSC70MinusPre,40,20,-221.7576,0.04408432,-201.65941,-2.288173624,0.1376585366,0.0702339472,,,,
171,20101129C1,MgFree,EPSC70MinusCNQMgFree,18,1,-17.77597,-2.039101,-14.1633363636,-1.8354121855,0.1376585366,0.0702339472,,,,
172,20101129C1,MgFree,EPSC70MinusCNQMgFree,21,2,-18.91017,0.4402788,-14.1633363636,-1.8354121855,0.1376585366,0.0702339472,,,,
173,20101129C1,MgFree,EPSC70MinusCNQMgFree,22,3,-14.63335,-1.856417,-14.1633363636,-1.8354121855,0.1376585366,0.0702339472,,,,
174,20101129C1,MgFree,EPSC70MinusCNQMgFree,23,4,-11.49015,0.07848072,-14.1633363636,-1.8354121855,0.1376585366,0.0702339472,,,,
175,20101129C1,MgFree,EPSC70MinusCNQMgFree,24,5,-16.38032,-3.088355,-14.1633363636,-1.8354121855,0.1376585366,0.0702339472,,,,
176,20101129C1,MgFree,EPSC70MinusCNQMgFree,25,6,-11.88823,-1.692953,-14.1633363636,-1.8354121855,0.1376585366,0.0702339472,,,,
177,20101129C1,MgFree,EPSC70MinusCNQMgFree,26,7,-17.4756,-5.306407,-14.1633363636,-1.8354121855,0.1376585366,0.0702339472,,,,
178,20101129C1,MgFree,EPSC70MinusCNQMgFree,27,8,-12.27239,-2.890475,-14.1633363636,-1.8354121855,0.1376585366,0.0702339472,,,,
179,20101129C1,MgFree,EPSC70MinusCNQMgFree,29,9,-11.62439,-1.696878,-14.1633363636,-1.8354121855,0.1376585366,0.0702339472,,,,
180,20101129C1,MgFree,EPSC70MinusCNQMgFree,30,10,-12.42158,-2.109637,-14.1633363636,-1.8354121855,0.1376585366,0.0702339472,,,,
181,20101129C1,MgFree,EPSC70MinusCNQMgFree,32,11,-10.92455,-0.02807056,-14.1633363636,-1.8354121855,0.1376585366,0.0702339472,,,,
182,20101129C2,MgFree,EPSC70MinusPre,18,1,-85.02184,-2.941063,-125.68762,-4.7488503,0.232733207,0.1187414321,,,,
183,20101129C2,MgFree,EPSC70MinusPre,19,2,-123.2952,-3.376504,-125.68762,-4.7488503,0.232733207,0.1187414321,,,,
184,20101129C2,MgFree,EPSC70MinusPre,20,3,-164.4901,-6.973948,-125.68762,-4.7488503,0.232733207,0.1187414321,,,,
